,nl_query,db
0,"Find all direct employees of a specific manager.
",graph
1,"Retrieve friends of a user within two degrees of separation.
",graph
2,"Discover the shortest path between two locations.
",graph
3,"Identify all products bought by customers in a specific city.
",graph
4,"Get all authors who have collaborated with a specific author.
",graph
5,"List all followers of a user on a social media platform.
",graph
6,"Find the most interconnected user in a network.
",graph
7,"Determine companies that have partnered with more than three others.
",graph
8,"Fetch all employees who work in the same department as a given employee.
",graph
9,"Identify common interests between two users.
",graph
10,"List all people who attended a specific event.
",graph
11,"Retrieve all nodes connected to a given node.
",graph
12,"Find all airlines that operate flights between two airports.
",graph
13,"Get all customers connected to a specific salesperson.
",graph
14,"Locate all mutual friends between two users.
",graph
15,"Retrieve all hierarchical dependencies of a specific task in a project.
",graph
16,"Find all mentors connected to a specific student.
",graph
17,"Identify nodes that form a cycle in the network.
",graph
18,"Fetch all organizations involved in a specific industry.
",graph
19,"List all tags related to a given blog post.
",graph
20,"Discover all transactions involving a particular account.
",graph
21,"Identify users who have interacted with a specific post.
",graph
22,"Retrieve all movies featuring a specific actor.
",graph
23,"Find all direct reports for a particular supervisor.
",graph
24,"Get all related concepts to a specific concept in an ontology.
",graph
25,"List all sequences of collaborations between two researchers.
",graph
26,"Retrieve all nodes with a specific property value.
",graph
27,"Discover all pathways connected to a protein in a biological network.
",graph
28,"Find potential influencers in a social network.
",graph
29,"Identify communities within a social network.
",graph
30,"Fetch all nodes with the highest degree of connection.
",graph
31,"Locate all courses related to a specific topic.
",graph
32,"List all relationships for a given node.
",graph
33,"Retrieve all products similar to a specific product based on attributes.
",graph
34,"Find all paths between two nodes within a maximum number of hops.
",graph
35,"Get all projects a certain team has worked on together.
",graph
36,"Identify the central node in a transportation network.
",graph
37,"Fetch all suppliers of a particular component in a supply chain.
",graph
38,"List all child pages linked from a given webpage.
",graph
39,"Retrieve all ingredients connected to a specific recipe.
",graph
40,"Find all transactions linked to a specific purchase order.
",graph
41,"Identify the most popular user based on the number of followers.
",graph
42,"Get all dependencies of a software package.
",graph
43,"List all songs related to a specific artist in a music graph.
",graph
44,"Retrieve all members of a specific group within a network.
",graph
45,"Find customers who frequently bought a specific category of products.
",graph
46,"Discover all publications citing a particular paper.
",graph
47,"Fetch all content nodes related to a specific keyword.
",graph
48,"Locate all software components compatible with a given framework.
",graph
49,"List all courses that are prerequisites for a specific course.
",graph
50,"Retrieve all alternate routes between two transportation hubs.
",graph
51,"Find relationships where a person is both mentee and mentor.
",graph
52,"Get all speakers who have presented at multiple conferences.
",graph
53,"Identify the longest path in a project dependency graph.
",graph
54,"Locate all similar businesses to a specific business type.
",graph
55,"Retrieve all relationships with a weight above a certain threshold.
",graph
56,"Fetch all movies rated by a specific user.
",graph
57,"Discover actors that have co-starred with a particular star.
",graph
58,"List all modules interacting with a given module in software.
",graph
59,"Retrieve all financial transactions involving a certain currency.
",graph
60,"Find all customers connected to a specific service request.
",graph
61,"Get all social media posts related to a particular hashtag.
",graph
62,"Identify communities based on shared interests.
",graph
63,"Fetch all recommendations based on a user’s purchasing history.
",graph
64,"Locate all influencers who follow a particular brand.
",graph
65,"Retrieve all service calls linked to a particular incident.
",graph
66,"Find all nodes without outgoing edges.
",graph
67,"List all endpoints accessible from a starting node.
",graph
68,"Retrieve all event logs associated with a specific user activity.
",graph
69,"Get all direct ancestor nodes for a particular node.
",graph
70,"Identify the most influential Node in a political network.
",graph
71,"Fetch all issues related to a particular project in a bug tracker.
",graph
72,"Locate all related phrases to a term in a linguistic network.
",graph
73,"List all subprocesses of a specific business process.
",graph
74,"Retrieve all transport options between two geographical points.
",graph
75,"Find all loans associated with a particular branch in a bank.
",graph
76,"Discover all competitors for a specific product.
",graph
77,"Fetch all academic papers related to a certain research field.
",graph
78,"Locate all charitable activities linked to a specific cause.
",graph
79,"List all regulatory entities overseeing a particular business type.
",graph
80,"Retrieve all books recommended for a specific genre.
",graph
81,"Identify potential collaborators in a research network.
",graph
82,"Fetch all error messages associated with a specific component.
",graph
83,"Find all direct flights from a particular airport.
",graph
84,"Get all game levels closely related to a specific level in a game.
",graph
85,"List all support tickets opened by a specific customer.
",graph
86,"Retrieve all news articles linked to a certain topic.
",graph
87,"Locate all influencers who have interacted with a specific campaign.
",graph
88,"Fetch all patents related to a specific technology.
",graph
89,"Identify all dependencies required for a specific deployment.
",graph
90,"Find all tourist attractions near a given location.
",graph
91,"Get all chat conversations involving a specific product complaint.
",graph
92,"Discover all check-ins by users at a particular venue.
",graph
