nl_query,explanation,db
Find all customers who have made a purchase in the last year.,     Relational databases can efficiently use indexes and structured queries (SQL) to handle complex WHERE clauses.,rdbms
List all employees in the sales department sorted by hire date.,     Relational databases can quickly sort data using indexed columns such as dates.,rdbms
Get the top 5 products with the highest sales.,     Aggregate functions like COUNT and SUM can be efficiently used with ORDER BY and LIMIT in SQL.,rdbms
Find the average order value for each customer.,     GROUP BY functions work seamlessly with JOINs and aggregates in relational databases.,rdbms
Determine which suppliers provide more than 50% of our raw materials.,     Complex joins and subqueries are efficiently handled by the SQL engine.,rdbms
Identify customers who have purchased both product A and product B.,     Relational databases can manage complex joins and subqueries to find intersecting records.,rdbms
Calculate the total revenue after applying discounts for a given period.,     Relational databases efficiently handle arithmetic and scaled calculations across large datasets.,rdbms
Find all products that have never been ordered.,     Anti joins or LEFT JOIN with NULL checks are well optimized in SQL.,rdbms
List each employee who reports directly to the CEO.,     Self referential JOINs are well suited to relational databases with hierarchical data.,rdbms
Identify duplicate records in the customer database based on email address.,      GROUP BY and HAVING clauses allow efficient duplicate detection.,rdbms
Get the monthly growth rate of new users over the past 2 years.,      Complex date functions and aggregation are efficiently processed in SQL.,rdbms
"Find customers whose total purchase value exceeds $10,000.","      Relational databases excel at using GROUP BY, HAVING, and JOIN together to prune large datasets.",rdbms
List all products with their suppliers and prices in ascending order.,      Multi table joins with ORDER BY are straightforward in SQL.,rdbms
Show a list of employees and their managers in a flat structure.,      Self joins are well handled to produce hierarchical data in tabular form.,rdbms
Find all books borrowed more than 10 times in the past year for a library database.,      Aggregates with conditions are efficient with indexed data.,rdbms
Determine the product with the highest sales in each region.,      GROUP BY functions on multiple columns efficiently process complex data relationships.,rdbms
List all vehicles that have been serviced more than five times.,      Inner joins with aggregated conditions work efficiently.,rdbms
Find all reservations that overlap a specific date range.,      Relational databases handle range queries well due to their indexing capabilities.,rdbms
"Get the last three comments for each blog post, ordered by date.",      Window functions can efficiently extract ordered subsets in relational databases.,rdbms
List each product along with its top three customer reviews by rating.,      Relational databases can handle complex queries involving LIMIT in subqueries efficiently.,rdbms
Find all transactions where the same item was purchased with different prices.,      RELational queries can use GROUP BY and HAVING to efficiently detect anomalies.,rdbms
List all departments with average employee salaries below the company average.,      Nested queries with aggregates are aptly processed in relational environments.,rdbms
Identify customers with no postal address recorded.,      Efficient NULL checks and queries spanning multiple related datasets work well.,rdbms
Find every manager with more than five direct reports.,      Multi level data joins and aggregations are SQL strengths.,rdbms
Determine overall customer satisfaction with average ratings per category.,      Grouped calculations allow clear insights into aggregated data.,rdbms
List all clients and their most recent transaction details.,      Subqueries or window functions in relational databases efficiently pinpoint latest records.,rdbms
Find products that have both online and in store sales.,      Joining across different data sources can efficiently reveal dual presence data.,rdbms
Find the supplier with the fastest average delivery time.,      Aggregated joins with ORDER operations are efficiently executed.,rdbms
Identify monthly sales trends for a specific product category.,"      Relational databases natively provide analytic capabilities for complex queries with ORDER BY, GROUP BY, etc.",rdbms
List all employees who earn more than the average salary of their department.,      Relational databases handle correlated subqueries efficiently.,rdbms
Find all items bought by both new and returning customers within a month.,      Complex joins and temporal queries benefit from structured relational schema.,rdbms
List all job titles with their corresponding department name and manager in text format.,      Multi table queries efficiently map interrelated data points.,rdbms
Find users who have never logged in after registration.,      Negative matching with LEFT JOINs efficiently highlight missing related records.,rdbms
Retrieve the top 3 performing salespersons each quarter.,      Partitioning data using window functions efficiently reveals top performers.,rdbms
Show each student's best and worst grade in college records.,"      Aggregation, min/max functions, and partitioning yield efficient results.",rdbms
Identify books in a library that have been checked out over 50 times but not in the last year.,      Compound conditions through efficient join and filter mechanisms.,rdbms
Find which employees report to multiple managers.,      Self join queries efficiently spot cross linked hierarchical relationships.,rdbms
Generate a quarterly finance report summing expenses by category.,      Relational databases handle arithmetic operations and aggregates on rich data types efficiently.,rdbms
List all users whose orders include both a refund and a non refund item.,      Subqueries with intersecting sets are effectively managed in SQL.,rdbms
Identify authors who have books translated into multiple languages but not all books translated.,      Complex conditions and multiple self joins are well suited to relational databases.,rdbms
List all customers who have placed an order in the last month.,"     Relational databases handle join operations efficiently, especially when tables are indexed.",rdbms
Find total sales for each product category.,     Aggregation queries with GROUP BY clauses are highly optimized in relational databases.,rdbms
Retrieve the customer name and total order amount where order value is greater than $500.,     Relational databases excel at filtering and aggregating data across related tables.,rdbms
Get the list of employees who work in the marketing department.,     Well suited for relational databases with properly indexed foreign key relationships.,rdbms
Count the number of products in each inventory location.,     Efficient handling of COUNT and GROUP BY operations with indexing.,rdbms
Show the top 10 products by sales volume this year.,     Use of ranking functions and efficient sorting in SQL can optimize this query.,rdbms
Find all orders that have not been shipped yet.,     Easy to perform conditional logic with standard SQL WHERE clauses.,rdbms
List all unique suppliers and their contact information.,     Fast deduplication and retrieval of records with DISTINCT keyword.,rdbms
Retrieve all overdue invoices and their corresponding customer information.,     Effective at combining data from multiple tables using JOINs.,rdbms
Display employees ordered by hire date.,      SQL provides excellent support for ordering results with ORDER BY.,rdbms
Which products have a stock level below 10?,      Simple conditions evaluated efficiently due to indexing capabilities.,rdbms
Calculate average salary by department.,      Uses aggregate functions and grouping that are optimized in SQL.,rdbms
Get all customers who have not made a purchase in the last year.,      Complex subquery handling and joining work well in relational systems.,rdbms
Summarize total revenue by quarter for this fiscal year.,      Relational databases handle date and time functions effectively.,rdbms
Identify all employees with a specific skill set.,      Relational databases utilize join and filter capabilities efficiently.,rdbms
List all books authored by a specific writer published after 2010.,      Complex filtering and join operations are optimized in SQL.,rdbms
Retrieve a list of all active projects and their assigned teams.,      Efficient querying due to relational model's support for complex relationships.,rdbms
"Show customer order history for those who spent more than $1,000.",      Aggregation and filtering of transactional data are strengths of relational databases.,rdbms
Find all employees eligible for a promotion based on tenure and performance.,"      Capable of balancing complex querying logic, benefiting from structured SQL.",rdbms
Display the list of top performing sales representatives.,      Strong support for analytical queries with ranking functions in relational databases.,rdbms
Get all accounts that have been inactive for over a year.,      Perfect for efficiently checking conditions across potentially large datasets.,rdbms
Show the distribution of order amounts using percentiles.,      SQL can efficiently handle statistical operations using analytical functions.,rdbms
List the names of customers who ordered the most popular product.,      Relational systems can manage subqueries and joins effectively for this use case.,rdbms
Which departments have the highest number of employees?,      Aggregation and grouping queries perform well in SQL.,rdbms
Find products with a discount greater than 20% and available in stock.,      Optimized filtering capabilities make this suitable for relational databases.,rdbms
Generate a report of monthly expenses broken down by category.,      Strong support for both aggregation and complex report generation.,rdbms
Retrieve orders shipped later than the estimated delivery date.,      Ability to handle complex date calculations efficiently using SQL.,rdbms
Show the list of regions with the most sales in the last quarter.,      Relational databases manage summarizations and ordering well.,rdbms
Identify top 5 city locations where most services are scheduled.,      SQL provides good performance on ranking and counting operations.,rdbms
List all products that have had a price increase this year.,      Efficient comparison and historical data operations in relational databases.,rdbms
What are the average ratings of products by customer demographic groups?,      SQL supports complex grouping and averaging with ease.,rdbms
Display inventory items with stock levels reviewed by last.Inventory check date.,      Scheduling and ordering capabilities in SQL enhance this query's performance.,rdbms
List transactions within specific financial guidelines and regulatory criteria.,      Flexible to handle extensive filtering criteria efficiently.,rdbms
Which users logged in more than ten times last month?,      Well suited for counting and filtering over sequential data.,rdbms
Generate personnel turnover rate by department for the recent year.,      Detailed analytical and summarization operations are efficient in SQL.,rdbms
Retrieve the detailed orders for the customers ranked among the top ten spenders.,      Efficient handling of complex joins and subqueries in SQL.,rdbms
List all discontinued products and their last purchase statistics.,      SQL efficiently processes historical data combined with condition checks.,rdbms
Retrieve all customers who have placed more than five orders within the last month.,"    Utilizes indexed columns, aggregate functions, and conditional filtering in a well-structured schema.",rdbms
List all employees who have been with the company for more than ten years and are working in managerial positions.,    Joins between employee tenure data and position tables benefit from defined relationships and constraints.,rdbms
"Find the total sales by product category for the past year, sorted by highest to lowest.",    Grouping and sorting are efficiently handled using indexes and B-trees in RDBMS.,rdbms
"Get a report of all students who have not submitted their assignments, along with their contact information.",    Uses LEFT JOINs to identify missing submissions and retrieves related contact details.,rdbms
Identify books authored by more than one person within a specific genre.,    Multiple table joins are handled seamlessly due to foreign key relationships.,rdbms
"Show all suppliers who have a contract worth over $100,000 and supply more than three different products.",    Compound conditions leveraging relational logic across different tables.,rdbms
"List all open support tickets assigned to teams, including their creation and last updated timestamps.",    Dates and team assignments are indexed and updated transactions are ACID-compliant.,rdbms
Retrieve all orders containing products in both the electronics and home appliance categories.,    Handling set-based operations requiring EXISTS clauses or INNER JOINs.,rdbms
Compute the average score per subject for each student in a class.,    Group by and aggregating scores per student-subject relationships with indexes.,rdbms
Find all projects that require more than three departments and span into the next fiscal year.,     Relational tables model complex interdepartmental requirements; timestamps queried efficiently.,rdbms
Count the number of active members who joined each month for the past two years.,     Efficient aggregation over time periods using indexes.,rdbms
"Determine which products are rarely ordered, appearing less than 10 times in last quarter's sales.",     COUNT statements over order details combined with relational constraints.,rdbms
Extract a list of patients whose appointments were rescheduled more than once in the last six months.,     Employs queries on relational logs with efficient tracking through indexes.,rdbms
Generate a listing of employees and their managers including only those where the two share the same last name.,     Efficient joins and filtering to create hierarchical datasets.,rdbms
"Identify all branches that sold more than $500,000 in seasonal promotions this year.",     Efficient use of partitioning and indexing for seasonal period analysis.,rdbms
"List customers who have not purchased within the past year but spent over $5,000 the year before.",     Complex condition checking with historical transaction records.,rdbms
Find duplicate entries in a user database for emails registered with slight variations in spelling.,"     Combines LIKE clauses with wildcard matching, possible with efficient text indexes.",rdbms
