nl_query,db
"What is the total revenue generated by each product category this quarter?
",rdbms
"How many employees are in each department of the company?
",rdbms
"List all customers who have placed more than five orders in the past year.
",rdbms
"What is the average salary of employees by department?
",rdbms
"Retrieve the top 10 best-selling products of the month.
",rdbms
"Show all suppliers providing parts for the automotive division.
",rdbms
"Find the number of orders processed each day this week.
",rdbms
"Identify the employee who has been with the company the longest.
",rdbms
"What is the highest-rated movie in each genre?
",rdbms
"Display the inventory count for each product in stock.
",rdbms
"List the names of customers along with their last purchase date.
",rdbms
"How many distinct job titles exist within the company?
",rdbms
"Find the five most recent hires in the organization.
",rdbms
"Get the name and age of all customers who are older than 50.
",rdbms
"Which products have not seen any sales in the last 30 days?
",rdbms
"Retrieve the full order history of a particular customer.
",rdbms
"Identify projects that have been completed under budget.
",rdbms
"Get the total number of hours logged by each employee on all projects.
",rdbms
"Show sales figures for each region in the past year.
",rdbms
"What is the average customer satisfaction score by service representative?
",rdbms
"Get the list of all active memberships in the gym.
",rdbms
"Which students have overdue library books?
",rdbms
"Retrieve all payment details made via credit card this month.
",rdbms
"How many items are currently on backorder?
",rdbms
"Display customer feedback ratings for each service provided.
",rdbms
"List all employees who have not taken any leave in the past six months.
",rdbms
"Find the most expensive product in each department.
",rdbms
"Show the breakdown of expenses by category for last month.
",rdbms
"Retrieve the counts of each type of violation issued by the police department.
",rdbms
"How much have customers spent on average per order?
",rdbms
"Identify all branches of the bank along with the number of accounts managed.
",rdbms
"List the past five years’ annual sales growth percentage.
",rdbms
"How many students graduated this semester with honors?
",rdbms
"Get the total sales amount per salesperson.
",rdbms
"Show the list of workshops scheduled in the upcoming quarter.
",rdbms
"Retrieve all transactions that occurred in the last five days.
",rdbms
"Which courses have the highest enrollment numbers this semester?
",rdbms
"Show the number of units sold per product for the current year.
",rdbms
"Generate a list of employees with anniversaries this month.
",rdbms
"How many tickets were resolved by each support agent?
",rdbms
"Find products with stock levels below the reorder threshold.
",rdbms
"List the top 5 cities where the most purchases were made.
",rdbms
"Retrieve the full audit trail for a specific financial account.
",rdbms
"What are the average scores for each exam taken by students this semester?
",rdbms
"Get a list of all invoices marked as overdue.
",rdbms
"Identify the suppliers located in Europe.
",rdbms
"List all service requests made on weekends.
",rdbms
"How many rooms are available in each hotel of the chain?
",rdbms
"Get the inventory value for each product category.
",rdbms
"Retrieve the names of patients with appointments this week.
",rdbms
"Show all properties available for rent with more than three bedrooms.
",rdbms
"List all events scheduled at the convention center this year.
",rdbms
"What is the success rate of closing deals per sales agent?
",rdbms
"Find the total number of projects handled by each team.
",rdbms
"Retrieve the names and phone numbers of emergency contacts for all employees.
",rdbms
"List all published articles in a specific journal for the last decade.
",rdbms
"Show the current status of all maintenance requests submitted this month.
",rdbms
"Get the total number of units returned for each product.
",rdbms
"Identify all active and inactive accounts along with their balances.
",rdbms
"What are the average delivery times for each shipping method?
",rdbms
"Find out the attrition rate by department over the past five years.
",rdbms
"Show all credits and debits made to a particular account number.
",rdbms
"List all pending applications for the upcoming academic year.
",rdbms
"How many courses must a student complete to earn a particular degree?
",rdbms
"Get the usage statistics for each software program installed in the company.
",rdbms
"Retrieve the breakdown of customer demographics by region.
",rdbms
"Find the list of all authorized vendors for IT equipment.
",rdbms
"Show the quarterly financial performance for the subsidiaries.
",rdbms
"List the success rate of campaigns conducted by the marketing department.
",rdbms
"Which products have the most frequent returns by customers?
",rdbms
"Retrieve all details of completed construction projects in urban areas.
",rdbms
"How many members have renewed their subscription this month?
",rdbms
"List the current tenants and their lease expiration dates.
",rdbms
"Display all shareholders with more than 5% stake in the company.
",rdbms
"What is the average resolution time for customer complaints?
",rdbms
"Identify the countries with the highest export volumes.
",rdbms
"Retrieve the rental history for a specific vehicle in the fleet.
",rdbms
"List the donations made by individuals over the past year.
",rdbms
"How many devices are currently assigned to each IT staff member?
",rdbms
"Display the list of all international students along with their courses.
",rdbms
"Retrieve the stock levels after each purchase order fulfillment.
",rdbms
"Find the success rates of surgical procedures performed in the hospital.
",rdbms
"List the number of patients seen by each doctor per day.
",rdbms
"How much time do employees spend on average attending meetings each week?
",rdbms
"Show the annual membership growth for the club over the last five years.
",rdbms
"Retrieve the feedback from participants of all training programs.
",rdbms
"List the current available balance for all gift cards sold.
",rdbms
"What is the turn-around time for processing loan applications?
",rdbms
"Find the list of authors with multiple publications in the database.
",rdbms
"Retrieve all open and closed incident reports filed this year.
",rdbms
"Display the daily foot traffic metrics for retail stores.
",rdbms
"List the materials required for each manufacturing process.
",rdbms
"What are the successful completion rates of assignments?
",rdbms
"Identify the top five committees with the most active participants.
",rdbms
"Show details of all housing units sold within the last decade.
",rdbms
"How many books are checked out on average each month?
",rdbms
"List the maintenance costs per vehicle in the company’s fleet.
",rdbms
"Retrieve the average duration of employee tenures.
",rdbms
"What are the attendance rates for all hosted webinars?
",rdbms
"Display the full performance review history of a specific employee.
",rdbms
"Find the list of courses requiring prerequisites before enrollment.
",rdbms
"Show the sales trends of each seasonal product.
",rdbms
"Retrieve the number of confirmed and pending hotel bookings.
",rdbms
"Find all orders placed by a specific customer within the last year.
",rdbms
"Retrieve the list of products that have never been sold.
",rdbms
"Get the total sales amount for each product category in the last month.
",rdbms
"List all employees who have been with the company for over five years and their respective departments.
",rdbms
"Retrieve a list of customers who have ordered more than 10 times in the past.
",rdbms
"Find the average order value for each customer.
",rdbms
"Show the top 10 selling products of the past quarter.
",rdbms
"Generate a report of weekly sales totals over the past year.
",rdbms
"List all suppliers who have not delivered any products in the past six months.
",rdbms
"Find customers who have spent more than a specified amount in their lifetime.
",rdbms
"Retrieve orders that include products from multiple categories.
",rdbms
"Find the oldest active customer based on registration date.
",rdbms
"List customers along with the count of orders they have placed.
",rdbms
"Find products with low stock levels and their suppliers.
",rdbms
"Retrieve employees who have managed more than three different departments during their tenure.
",rdbms
"Get the total number of orders placed on the most recent Black Friday.
",rdbms
"List employees along with the number of projects they are currently working on.
",rdbms
"Find all invoices issued in the last year that have been fully paid.
",rdbms
"Show the customer who has ordered the most diverse range of products.
",rdbms
"Retrieve the product with the highest number of returns within the past year.
",rdbms
"Calculate the average delivery time for orders.
",rdbms
"List employees who have never reported time-off.
",rdbms
"Find the product categories that generate the most revenue.
",rdbms
"Show all orders that required expedited shipping.
",rdbms
"Retrieve customer feedback along with corresponding order details.
",rdbms
"List the names of customers who have ever cancelled an order.
",rdbms
"Find top employees based on the number of completed projects.
",rdbms
"Retrieve suppliers with the most number of products in their catalog.
",rdbms
"List all pending shipments with estimated delivery dates.
",rdbms
"Find all departments with more than ten employees.
",rdbms
"Retrieve the most popular product for each season.
",rdbms
"List customers who have returned items more than five times.
",rdbms
"Find all transactions exceeding a specified amount.
",rdbms
"Show the hierarchy of departments within the organization.
",rdbms
"Retrieve suppliers and their corresponding top-selling products.
",rdbms
"Find the historical change in product prices.
",rdbms
"List all orders with special instructions.
",rdbms
"Retrieve customers and their preferred payment methods.
",rdbms
"Find employees with the same last name as any of their managers.
",rdbms
"List customers who have received a loyalty bonus.
",rdbms
"Find sales transactions that included a specific promotional code.
",rdbms
"Retrieve products in decreasing order of profit margin.
",rdbms
"List active projects and their expected completion dates.
",rdbms
"Find all invoices that are past due.
",rdbms
"Retrieve product bundles frequently bought together.
",rdbms
"Find all items that are out of stock.
",rdbms
"List all recurring customers who prefer weekend deliveries.
",rdbms
"Find the most used shipping routes.
",rdbms
"Retrieve employees with matching skill sets.
",rdbms
"List all purchases with invoices not yet generated.
",rdbms
"Find all customers who have opted in for newsletters.
",rdbms
"Retrieve historical revenue data for forecasting.
",rdbms
"List all VIP customers and offer details.
",rdbms
"Find season-specific promotions and their success metrics.
",rdbms
"Show customers with addresses in more than one city.
",rdbms
"List the newest products launched in the past three months.
",rdbms
"Retrieve invoices containing errors.
",rdbms
"Find customer support tickets resolved within an hour.
",rdbms
"List products supplied by only one vendor.
",rdbms
"Retrieve accounts with prepaid subscription plans.
",rdbms
"Find employees eligible for retirement in the next year.
",rdbms
"List the warehouses with maximum storage capacity.
",rdbms
"Retrieve all products available in a specified color.
",rdbms
"Find unresolved disputes in customer transactions.
",rdbms
"List technicians with certifications expiring this year.
",rdbms
"Retrieve products with a warranty period exceeding two years.
",rdbms
"Find all projects completed earlier than the deadline.
",rdbms
"List customers who prefer recycled packaging.
",rdbms
"Retrieve annual growth rate data for customer base.
",rdbms
"Find errors in the input data for various tables.
",rdbms
"List project milestones across different departments.
",rdbms
"Retrieve products with alternate suppliers.
",rdbms
"Find training programs attended after working hours.
",rdbms
"List items not sold in the last inventory cycle.
",rdbms
"Retrieve promotions not availed by any customer.
",rdbms
"Find support representatives with the most closed tickets.
",rdbms
"List all custom packages requested by clients.
",rdbms
"Retrieve products listed at the same price for more than a year.
",rdbms
"Find locations with the least number of order dispatches.
",rdbms
"List customer accounts marked for follow-up.
",rdbms
"Retrieve items with component parts out of stock.
",rdbms
"Find meetings scheduled with external partners.
",rdbms
"List assets scheduled for depreciation discussions.
",rdbms
"Retrieve payment logs with non-standard payment gateways.
",rdbms
"Find holiday sales campaigns and corresponding discounts.
",rdbms
"List legacy systems still in use across departments.
",rdbms
"Retrieve all client interactions for key accounts.
",rdbms
"Find production targets exceeded two years in a row.
",rdbms
"List interview results for the last hiring cycle.
",rdbms
"Retrieve shipping exceptions for the last holiday season.
",rdbms
"Find customers who have not interacted with the company in over a year.
",rdbms
"List all employees participating in skill development programs.
",rdbms
"Retrieve financial transactions needing manager approval.
",rdbms
"Find peak order periods and corresponding inventory levels.
",rdbms
"List unexpected return reasons for electronic products.
",rdbms
"Retrieve organizational policies modified in the last year.
",rdbms
"Find leading channels for new customer acquisition. 
",rdbms
"What are the total sales figures by region for the last quarter?
",rdbms
"List all customers who haven't made a purchase in the last year.
",rdbms
